threshold,accuracy,precision,recall,f1_score,roc_auc,specificity,false_positive_rate,tn,fp,fn,tp
0.1,0.9365251361601414,0.9147598788854394,0.9999162093091457,0.9554443554843876,0.990187135660121,0.8014285714285714,0.19857142857142857,8976,2224,2,23867
0.15,0.936781773075936,0.9151073619631902,0.9998743139637186,0.955614727021562,0.990187135660121,0.8023214285714285,0.19767857142857143,8986,2214,3,23866
0.2,0.937209501268927,0.9156658865057745,0.9998324186182915,0.9559000240326845,0.990187135660121,0.80375,0.19625,9002,2198,4,23865
0.25,0.9379223815905786,0.9168332052267486,0.9994553605094474,0.9563631261400308,0.990187135660121,0.8067857142857143,0.19321428571428573,9036,2164,13,23856
0.3,0.9389774444666229,0.9190742526518805,0.9982403954920608,0.9570229344900992,0.990187135660121,0.8126785714285715,0.18732142857142858,9102,2098,42,23827
0.35,0.9413442071345063,0.9236656048481081,0.9961456282207046,0.9585374211364415,0.990187135660121,0.8245535714285714,0.17544642857142856,9235,1965,92,23777
0.4,0.9439961219310502,0.9306412928085558,0.9916209309145754,0.9601638878747313,0.990187135660121,0.8425,0.1575,9436,1764,200,23669
0.45,0.9457925803416123,0.9405583186266645,0.9824458502660355,0.9610458802073728,0.990187135660121,0.8676785714285714,0.13232142857142856,9718,1482,419,23450
0.5,0.9462488237474693,0.9493500122639196,0.9729356068540785,0.9609981171504831,0.990187135660121,0.889375,0.110625,9961,1239,646,23223
0.55,0.9463058541732015,0.9563683161740285,0.9651430726046336,0.9607356590278792,0.990187135660121,0.9061607142857143,0.09383928571428571,10149,1051,832,23037
0.6,0.9448515783170321,0.9622371138365575,0.9565126314466463,0.9593663333053197,0.990187135660121,0.92,0.08,10304,896,1038,22831
0.65,0.9429695742678719,0.9679062005220591,0.9476308182160962,0.9576612049621068,0.990187135660121,0.9330357142857143,0.06696428571428571,10450,750,1250,22619
0.7,0.9390915053180872,0.9739608322065687,0.9355230633876577,0.9543550730831695,0.990187135660121,0.9466964285714285,0.05330357142857143,10603,597,1539,22330
0.75,0.9316775499729105,0.9787736900780379,0.9195609367799238,0.9482438328941115,0.990187135660121,0.9575,0.0425,10724,476,1920,21949
0.8,0.9226667427072343,0.9839868234432905,0.9010431941011353,0.9406901981367275,0.990187135660121,0.96875,0.03125,10850,350,2362,21507
0.85,0.9125723573526476,0.9883562608573172,0.8819389165863672,0.9321200850159405,0.990187135660121,0.9778571428571429,0.02214285714285714,10952,248,2818,21051
0.9,0.8971741424049731,0.9929930417011338,0.8549583141313,0.9188203511931562,0.990187135660121,0.9871428571428571,0.012857142857142857,11056,144,3462,20407
